pmid	doi	doi_prefix	publisher	strategy	accessions	n_runs	total_gb	gse_ids	ae_ids	notes
38357363	10.3389/fphar.2023.1320028	10.3389	frontiers	geo_to_sra	PRJNA805525,SRP359396	1158	9619.22	GSE196576		
37619934	10.1016/j.jare.2023.08.014	10.1016	elsevier_incl_cell_press	geo_to_sra	PRJNA1003421	4	16.74	GSE240349		
35183223	10.1186/s13046-021-02239-4	10.1186	bmc	whole_html_regex	PRJNA397219	88	1629.47			
37814323	10.1186/s12967-023-04527-3	10.1186	bmc	geo_to_sra	PRJNA726145,SRP316870	12	98.62	GSE173549,GSE102573,GSE39582,GSE14333,GSE17536,GSE17537		
